//----------------------------------------------------------------------
//----------------------------------------------------------------------
// Created by      : boden
// Creation Date   : 2016 Sep 26
//----------------------------------------------------------------------
//----------------------------------------------------------------------
//

,
Interface Description, Interface Type, Interface Transaction, Interface Name,
wb, wb_driver_bfm wb_monitor_bfm, wb_transaction, wb_pkg_wb_BFM,
spi, spi_driver_bfm spi_monitor_bfm, spi_transaction, spi_pkg_spi_BFM,

