//----------------------------------------------------------------------
//----------------------------------------------------------------------
// Created by      : boden
// Creation Date   : 2016 Nov 30
//----------------------------------------------------------------------
//----------------------------------------------------------------------
//

,
Interface Description, Interface Type, Interface Transaction, Interface Name,
gpio_a, gpio_driver_bfm gpio_monitor_bfm, gpio_transaction, gpio_pkg_gpio_a_BFM,
gpio_b, gpio_driver_bfm gpio_monitor_bfm, gpio_transaction, gpio_pkg_gpio_b_BFM,

