//----------------------------------------------------------------------
// Created with uvmf_gen version 2019.4_1
//----------------------------------------------------------------------
// pragma uvmf custom header begin
// pragma uvmf custom header end
//----------------------------------------------------------------------
//----------------------------------------------------------------------
//

,
Interface Description, Interface Type, Interface Transaction, Interface Name,
ahb2wb_wb, wb_driver_bfm wb_monitor_bfm, wb_transaction, wb_pkg_ahb2wb_wb_BFM,
ahb2wb_ahb, ahb_driver_bfm ahb_monitor_bfm, ahb_transaction, ahb_pkg_ahb2wb_ahb_BFM,
wb2spi_wb, wb_driver_bfm wb_monitor_bfm, wb_transaction, wb_pkg_wb2spi_wb_BFM,
wb2spi_spi, spi_driver_bfm spi_monitor_bfm, spi_transaction, spi_pkg_wb2spi_spi_BFM,

